Transaction Time|Transaction Type|Serial #|Buyer|Seller|Amount|Market ID
1690354006.705726003|CRYPTOTRANSFER|582|0.0.1897614|0.0.1757800|250.0|sentx
1687803497.583138003|CRYPTOTRANSFER|599|0.0.2104123|0.0.1990138|390.0|zuse
1689348735.630055003|CRYPTOTRANSFER|610|0.0.1691297|0.0.623641|600.0|zuse
1687545046.854623764|CRYPTOTRANSFER|611|0.0.2657668|0.0.542474|420.0|zuse
1688898675.157871203|CRYPTOTRANSFER|620|0.0.1996114|0.0.136327|400.0|sentx
1687099734.867949205|CRYPTOTRANSFER|621|0.0.997927|0.0.1057057|998.0|zuse
1690214723.822099741|CRYPTOTRANSFER|629|0.0.2007347|0.0.1317633|350.0|sentx
1688137601.752570938|CRYPTOTRANSFER|641|0.0.1009021|0.0.814382|450.0|zuse
1688061632.548212839|CRYPTOTRANSFER|648|0.0.2104123|0.0.694647|410.0|zuse
1688061644.122453168|CRYPTOTRANSFER|650|0.0.2104123|0.0.1066186|420.0|zuse
1686894285.117858693|CRYPTOTRANSFER|685|0.0.893956|0.0.910353|414.0|zuse
1689821361.868578973|CRYPTOTRANSFER|685|0.0.627512|0.0.1120498|444.0|sentx
1690998062.542471003|CRYPTOTRANSFER|686|0.0.1498096|0.0.1071032|250.0|zuse
1692400074.001068585|CRYPTOTRANSFER|691|0.0.3004265|0.0.508239|288.75|sentx
1687544853.046896912|CRYPTOTRANSFER|694|0.0.2657668|0.0.1063232|400.0|zuse
1688850103.892860003|CRYPTOTRANSFER|699|0.0.1280779|0.0.657657|325.0|zuse
1689720666.120702003|CRYPTOTRANSFER|703|0.0.700278|0.0.1079361|350.0|sentx
1687551913.180925003|CRYPTOTRANSFER|704|0.0.2657668|0.0.813799|450.0|zuse
1687773982.806104278|CRYPTOTRANSFER|705|0.0.2998555|0.0.1079361|369.0|zuse
1688771976.410580827|CRYPTOTRANSFER|706|0.0.1498096|0.0.1177722|399.0|zuse
1688771959.984470880|CRYPTOTRANSFER|707|0.0.1498096|0.0.1079361|390.0|zuse
1690998072.481333779|CRYPTOTRANSFER|708|0.0.1498096|0.0.1071032|250.0|zuse
1687020373.989208003|CRYPTOTRANSFER|709|0.0.2336576|0.0.789588|420.0|zuse
1687762410.089788190|CRYPTOTRANSFER|710|0.0.2998555|0.0.789588|375.0|zuse
1686918752.331647003|CRYPTOTRANSFER|711|0.0.1757800|0.0.1990138|240.0|zuse
1687544883.045928003|CRYPTOTRANSFER|711|0.0.2657668|0.0.1757800|415.0|zuse
1687219756.894021003|CRYPTOTRANSFER|712|0.0.1498096|0.0.496739|400.0|zuse
1690518149.461370003|CRYPTOTRANSFER|713|0.0.638341|0.0.1416408|260.0|zuse
1692325403.516617003|CRYPTOTRANSFER|713|0.0.3293807|0.0.638341|444.0|sentx
1692334861.241201003|CRYPTOTRANSFER|716|0.0.844175|0.0.709011|475.0|zuse
1687803508.321491367|CRYPTOTRANSFER|717|0.0.2104123|0.0.709011|400.0|zuse
1689812938.536311003|CRYPTOTRANSFER|720|0.0.793407|0.0.1757800|630.26179088|zuse
1689910180.055784400|CRYPTOTRANSFER|720|0.0.1498096|0.0.793407|350.0|zuse
1691898673.811273268|CRYPTOTRANSFER|720|0.0.1498096|0.0.1338506|249.0|zuse
1688771919.626306190|CRYPTOTRANSFER|722|0.0.1498096|0.0.617606|375.0|zuse
1687544909.088852853|CRYPTOTRANSFER|723|0.0.2657668|0.0.617606|420.0|zuse
1688668091.719123003|CRYPTOTRANSFER|724|0.0.1389129|0.0.617606|375.0|zuse
1688771938.865420199|CRYPTOTRANSFER|731|0.0.1498096|0.0.709011|375.0|zuse
1689597178.230836429|CRYPTOTRANSFER|733|0.0.428186|0.0.940667|569.0|sentx
1689870296.681302201|CRYPTOTRANSFER|734|0.0.793407|0.0.940667|475.0|sentx
1690064121.240210003|CRYPTOTRANSFER|734|0.0.2135513|0.0.793407|340.0|sentx
1689635929.564546454|CRYPTOTRANSFER|737|0.0.1729620|0.0.621029|399.0|zuse
1687109458.102475003|CRYPTOTRANSFER|740|0.0.2336576|0.0.657657|420.0|zuse
1689722491.735403003|CRYPTOTRANSFER|741|0.0.700278|0.0.621029|420.0|zuse
1687109468.099579003|CRYPTOTRANSFER|748|0.0.2336576|0.0.657657|420.0|zuse
1690521664.888505003|CRYPTOTRANSFER|756|0.0.2104123|0.0.910353|269.0|sentx
1690054299.568919509|CRYPTOTRANSFER|766|0.0.640642|0.0.1757800|384.34698064|sentx
1689972316.183351606|CRYPTOTRANSFER|777|0.0.3158096|0.0.1757800|395.0|sentx
1692400074.001068585|CRYPTOTRANSFER|816|0.0.3004265|0.0.589122|288.75|sentx
1689944032.958815003|CRYPTOTRANSFER|853|0.0.1757800|0.0.1079361|350.0|zuse
1692325630.582138003|CRYPTOTRANSFER|853|0.0.3293807|0.0.1757800|400.0|sentx
1690326870.634635003|CRYPTOTRANSFER|881|0.0.2135513|0.0.1317633|350.0|sentx
1692325238.601900644|CRYPTOTRANSFER|884|0.0.3293807|0.0.1317633|350.0|sentx
1689954795.958694566|CRYPTOTRANSFER|912|0.0.700278|0.0.848824|500.0|sentx
1689958605.275111003|CRYPTOTRANSFER|914|0.0.1335588|0.0.848824|500.0|sentx
